,compound,smiles,quote_id,quote_entry,quote_price_USD,quote_amount_mg,quote_catalogue,JA curated YES,DF curated NO,AC curated INTERESTING,DF curated INTERESTING,Enamine_Order_1968912,AC curated YES,DF curated YES,JA curated MAYBE,JA curated INTERESTING,JA curated NO,LCD curated YES,LCD curated INTERESTING,#curated YES,#curated NO,#curated INTERESTING
112,18861,CNS(=O)(=O)C=1C=CC(=NC1)N2CCC(C2)C3=CC=NN3,819.0,Z3870429202,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
113,18883,CS(=N)(=O)C=1C=CC(=NC1)N2CCC(C2)C3=CC=NN3,824.0,Z4229960942,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
114,18884,OCC=1C=CN=C(C1)N2CCC(C2)C3=CC=NN3,817.0,Z3870428392,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
115,18885,CS(=O)(=O)C=1C=CC(=NC1)N2CCC(C2)C3=CC=NN3,808.0,Z3393866775,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
116,11952,COC(=O)c1[nH]c(C(C)C)cc1-c1cn[nH]c1,,,,,,,,,True,,,,,,,,,0,0,1
117,24657,CC(=Cc1ccccn1)C(=O)N(C)C1(C(=O)O)CCOC1,,,,,,,,True,,,,,,,,,,0,0,1
118,11581,CC1=CN=C(CNC(C)C2=CN=CS2)N1,793.0,Z2581859906,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
119,13088,COCCN(CC1=CN=CS1)C(=O)CN2C=NC(=C2)C(=O)O,822.0,Z4173684939,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
120,15286,CC(C)c1[nH]ccc1C(=O)NCCN(CCO)C(=O)c1ccncc1,,,,,,,,True,,,,,,,,,,0,0,1
121,15286,CC(C)c1[nH]ccc1C(=O)NCCN(CCO)C(=O)c1ccncc1,,,,,,,,True,,,,,,,,,,0,0,1
122,15419,CCN(CCNC(=O)c1ccncc1)C(=O)c1cc[nH]c1C(C)C,,,,,,,,True,,,,,,,,,,0,0,1
123,17585,CC=1C=NC=CC1NCC2=CN=CS2,751.0,Z1713605135,125.0,5.0,sRDB,,,,True,,,,,,,,,0,0,1
124,17667,CNc1ccnc(NCc2cncs2)c1,,,,,,,,,True,,,,,,,,,0,0,1
125,17958,Nc1cnccc1NCc1cncs1,,,,,,,,,True,,,,,,,,,0,0,1
126,17958,Nc1cnccc1NCc1cncs1,,,,,,,,,True,,,,,,,,,0,0,1
127,26114,COCCNC(=O)CN(C)C=1C=CC(=CN1)C=2C=CN=CC2,802.0,Z2967699957,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
128,10384,O=C(O)C1=CC(=CN1)S(=O)(=O)NCC2=NC=CS2,759.0,Z802607250,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
129,16185,O=C1CN(CCN1C2=CC=CN=C2)C3=NC(=NS3)C4CCOC4,867.0,Z9426627605,187.0,5.0,mRDB,,,True,,,,,,,,,,0,0,1
130,13838,CC(=O)NCCC(C)NC(=O)C1=CSC(=N1)C=2C=CC=CN2,865.0,Z9426627555,187.0,5.0,mRDB,,,True,,,,,,,,,,0,0,1
131,12483,NC=1C=C(C=CN1)NCC2=CNC=N2,881.0,Z1633496113,132.0,5.0,sRDB,,,True,,,,True,,,,,,2,1,2
132,12548,CC=1C=NC=CC1NCC2=CNC=N2,748.0,Z1267817381,125.0,5.0,sRDB,,,,,,,True,,,,,,2,1,1
133,25743,N#Cc1ccc(-c2nccs2)[nH]1,,,,,,,,True,True,,,,,,,,,0,0,2
134,13623,CC(OC=1C=CC=NC1)C(=O)NCC(CO)C=2C=CC=NC2,774.0,Z2141143935,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
135,12388,CC(n1nc(-c2cncs2)nc1-c1cc[nH]c1)C(F)(F)F,,,,,,,,True,,,,,,,,,,0,0,1
136,11480,CC(NC=1C=NC(=CN1)N2C=CC=C2)C=3C=CC=CN3,839.0,Z9426627520,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
137,10412,COC(=O)CCN(CC1=CC=CN=C1)S(=O)(=O)C2CCOC2,780.0,Z1417009149,125.0,5.0,sRDB,,,True,,,True,,,,,,,2,1,2
138,13403,O=C(CCC(=O)C1=CC=CN1)OC(C=2C=CC=NC2)C(F)(F)F,778.0,Z1986000898,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
139,17072,CC(NC(C)C1CCCO1)C=2C=CC(=CC2)C=3C=CC=NC3,776.0,Z1663058060,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
140,13884,CC(C)C[C@H](NC(=O)C1=CN=C(S1)C=2C=CC=CN2)C(F)(F)F,920.0,Z3856530889,132.0,5.0,sRDB,,,,,,,True,,,,,,2,1,1
141,21483,CN(C)S(N)(=O)=NC(=O)C=1C=NN(C)C1N2C=CC=C2,826.0,Z4259455180,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
142,22012,CN1N=CC(C(=O)OCCCCC(C)(F)F)=C1N2C=CC=C2,834.0,Z4520431970,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
143,15932,CCC=1N=C(SC1C(=O)OC(C)CC)N2C=CC=C2,840.0,Z9426627595,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
144,22253,O=C(O)C1CCOC1CNCC2=CN=CS2,864.0,Z4405461689,187.0,5.0,mRDB,,,True,,,,,,,,,,0,0,1
145,22360,CCC1(C(N)c2cncs2)CCCO1,,,,,,,,True,,,,,,,,,,0,0,1
146,23087,NCC1CC(CNCC2=CN=CS2)CO1,796.0,Z2795308372,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
147,67390,COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(C(C)c3c[nH]nc3-c3ccncc3)cc2OC)c1,,,,,,,,,,,,True,,,,,,2,1,1
148,67398,Cc1cc(C(C)c2c[nH]nc2-c2ccncc2)c(-c2ccc(C#CCO)s2)cc1C(=O)NS(C)(=O)=O,,,,,,,,,,,,True,,,,,,2,1,1
149,67404,Cc1sc(C(C)NC(=O)C(C)C)c(C)c1CCNc1ccn(Cc2cccnc2)c1,,,,,,,,True,,,,,,,,,,0,0,1
150,67405,c1cncc(Cn2ccc(Nc3cccnc3-n3cccc3)c2)c1,,,,,,,,,True,,,,,,,,,0,0,1
151,67410,N#Cc1nc[nH]c1Nc1cccn1Cc1cccnc1,,,,,,True,,,,,,True,,,,,,2,0,0
152,68652,CC(C)(c1ccc(-c2csc(N)n2)cc1)c1ccncn1,,,,,,,,,,,,,True,,,,,0,0,0
153,68657,Nc1nc(-c2ccc(N(CC(=O)N3CCOCC3)C3CCCCC3)cc2)cs1,,,,,,,,True,,,,,,,,,,0,0,1
154,68663,Nc1nc(-c2ccc(NC(=O)c3csc(-c4cc(CC(=O)O)cc(CC(=O)O)c4)c3)cc2)cs1,,,,,,,,,,,,,True,,,,,0,0,0
155,68667,CCS(=O)(=O)NCc1ccc2c(c1)OC(Oc1ccc(S(=O)(=O)N3CCNCC3)cc1)O2,,,,,,True,,,,,,True,,,,,,2,0,0
156,68673,CCc1c(NCc2ccc3c(c2)OCO3)n[nH]c1O,,,,,,,,,True,,,,,,,,,0,0,1
157,67990,Cc1cc2cccc(NCC3CCNC3)n2n1,,,,,,,,,True,,,,,,,,,0,0,1
158,68932,Cc1cc(Cn2[nH]c3c(c2=O)CCCC3)on1,,,,,,,,,True,,,,,,,,,0,0,1
159,68932,Cc1cc(Cn2[nH]c3c(c2=O)CCCC3)on1,,,,,,,,,True,,,,,,,,,0,0,1
160,68987,CC1CCN(C1)S(=O)(=O)N2CC(C2)C=3C=CC=CC3,795.0,Z2775275268,125.0,5.0,sRDB,,,,True,,,,,,,,,0,0,1
161,69057,CC=1C=NC(=C(Cl)C1)N(C)CC2CCOC2,847.0,Z9426628035,125.0,5.0,sRDB,,,,True,,,,,,,,,0,0,1
162,69057,CC=1C=NC(=C(Cl)C1)N(C)CC2CCOC2,847.0,Z9426628035,125.0,5.0,sRDB,,,,True,,,,,,,,,0,0,1
163,69116,N#Cc1ccc(Cn2cnc3ccccc32)cc1O,,,,,,,,,True,,,,,,,,,0,0,1
164,68384,Cn1c(=O)n(CCN2CCCC2=O)c(=S)c2ccccc21,,,,,,True,True,,,,,,,,,,,2,2,1
165,68384,Cn1c(=O)n(CCN2CCCC2=O)c(=S)c2ccccc21,,,,,,True,True,,,,,,,,,,,2,2,1
166,69322,NC(c1ccccc1)c1ccc(-c2cc(CC(=O)O)cc(CC(=O)O)c2)s1,,,,,,True,,,True,,,,,,,,,2,1,2
167,69322,NC(c1ccccc1)c1ccc(-c2cc(CC(=O)O)cc(CC(=O)O)c2)s1,,,,,,True,,,True,,,,,,,,,2,1,2
168,67659,COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,,,,,,,,,,,,True,,,,,,2,1,1
169,67659,COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,,,,,,,,,,,,True,,,,,,2,1,1
170,67659,COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,,,,,,,,,,,,True,,,,,,2,1,1
171,67718,O=C(O)Cc1cc(-c2ccccc2)cc(C(C(=O)O)c2cc(-c3ccncc3)n[nH]2)c1,,,,,,,,,True,,,,,,,,,0,0,1
172,67721,Nc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccccc1,,,,,,,,,,,True,True,,,,,,2,0,0
173,66810,COc1cc(CC2CCNC2)cc2[nH]ccc12,,,,,,,,,True,,,,,,,,,0,0,1
174,66810,COc1cc(CC2CCNC2)cc2[nH]ccc12,,,,,,,,,True,,,,,,,,,0,0,1
175,66848,CN(c1nccc2cc(F)ccc12)S(N)(=O)=O,,,,,,,,,True,,,,,,,,,0,0,1
176,23249,CN(C)C(=O)CN1C=CC(=N1)NS(=O)(=O)N2CCCCC2,777.0,Z1265635469,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
177,33434,C[C@H](O)CNC(=O)NC1=CC=CC=2C=CC=NC12,892.0,Z1563511780,132.0,5.0,sRDB,True,,,,True,,,,,,,,2,1,1
178,35403,CC1=CSC(CN(C)C(=O)C(N)CC2=COC=3C=CC=CC23)=N1,809.0,Z3550204468,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
179,40644,CC(C)C1=CSC(CCNS(=O)(=O)C2=COC=3C=CC=CC23)=N1,844.0,Z9426627920,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
180,34321,C=1C=NC=C(C1)C2CCCC(C2)NC3CNC=4C=CC=CC4C3,789.0,Z2476678011,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
181,34509,CC(NC(=O)NC1CNC=2C=CC=CC2C1)C=3C=CC=CN3,790.0,Z2482192222,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
182,28013,CC=1C=CC(NC(=O)C=2C=CN=CC2)=C3C=CC=NC13,952.0,Z284853536,71.0,5.0,Legacy,True,,,,True,,,,,,,,2,1,1
183,29639,O=C(NC=1C=CC(Cl)=C2N=CC=CC12)C=3C=CN=CC3,953.0,Z288630386,71.0,5.0,Legacy,True,,,,True,,,,,,,,2,1,1
184,45268,C[C@H](O)CNC(=O)NC1=CC=CC(=N1)C2CC2,910.0,Z2295144365,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
185,45327,CC(O)CNC(=O)NC1=CC=CN=C1N2CCCC2,740.0,Z434535198,43.0,5.0,HTS,,,,,,,,,True,,True,True,2,1,3
186,49374,CC=1C=CC=C(N1)NC(=O)NCC(C)O,970.0,Z1693402753,144.0,5.0,sRDB,True,,,,True,,,,,,,,2,1,1
187,49374,CC=1C=CC=C(N1)NC(=O)NCC(C)O,970.0,Z1693402753,144.0,5.0,sRDB,True,,,,True,,,,,,,,2,1,1
188,48477,CC(=O)c1csc(-c2nccc3ccccc23)n1,,,,,,,,,,,,,,,True,True,True,2,2,2
189,48706,NC1=NC(=CS1)C=2N=CC=C3C=CC=CC23,961.0,Z1607200474,144.0,5.0,sRDB,True,,,,True,,,,,,True,,2,0,0
190,49455,Nc1csc(-c2nccc3ccccc23)n1,,,,,,,,,,,,,,,True,True,True,2,2,2
191,49503,CC1=NC(=CS1)CNC=2N=CC=C3C=CC=CC23,885.0,Z3239761394,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
192,56537,BrC=1C=CN=C2C(=CC=CC12)NCC=3C=CN=CC3,939.0,Z9471938625,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
193,30876,CC=1C=CC(NC(=O)C=2C=CC=NC2)=C3C=CC=NC13,739.0,Z284853590,38.0,5.0,Legacy,,,,,,,,,True,,,,0,0,1
194,37081,O=C(COC(=O)C1=COC=2C=CC=CC12)C3=CNC4=CC=CC=C34,772.0,Z1195922141,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
195,54733,CC1=CC(=NN1CC(F)(F)F)NC(=O)NCC(C)O,761.0,Z9426627949,125.0,5.0,sRDB,,,,,,,,,True,,True,,2,1,2
196,54945,CC1=CC(=NN1C2CC2)NC(=O)NC[C@@H](C)O,924.0,Z4345280131,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
197,55155,COCCCN1C=CC(=N1)NC(=O)NC[C@H](C)O,902.0,Z1865933998,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
198,55174,CC(O)CNC(=O)NC=1C=CN(N1)C=2N=CC=CN2,845.0,Z9426627955,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
199,55262,COC(=O)C1=CC(=NN1C)NC(=O)NC[C@H](C)O,940.0,Z9471938626,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
200,34696,C1=CC=2C=CC(=CC2O1)NCC3=CC=NN3C=4C=CC=CN4,869.0,Z9426627881,187.0,5.0,mRDB,,,,,,,,,True,,,,0,0,1
201,55996,CC=1C=C(NC(=O)NCC(C)O)N(N1)C=2C=CC=CC2,737.0,Z412178238,38.0,5.0,Legacy,,,,,,,,,True,,True,True,2,1,3
202,56548,C[C@@H](O)CNC(=O)NC=1C=C(C2CC2)N(C)N1,906.0,Z2171912904,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
203,56765,C[C@@H](O)CNC(=O)NC=1C=CN(N1)C2CCC2,921.0,Z4195014172,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
204,46078,CC(C)CC=1C=CN=C(C1)NC(=O)NCC(C)O,816.0,Z3845778601,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
205,46078,CC(C)CC=1C=CN=C(C1)NC(=O)NCC(C)O,816.0,Z3845778601,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
206,32376,C=1C=CC(=NC1)N2CCOC=3C=CC=CC3C2,964.0,Z646605084,144.0,5.0,sRDB,True,,,,True,,,,,,,,2,1,1
207,60288,CC(C)(C)C=1C=NC(=C(C#N)C1)N2CCOC=3C=CC=CC3C2,846.0,Z9426627960,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
208,62405,FC=1C=CC=NC1N2CCOC=3C=CC=CC3C2,741.0,Z1373424921,43.0,5.0,HTS,,,,,,,,,True,,,,0,0,1
209,62406,FC=1C=CC(=NC1)N2CCOC=3C=CC=CC3C2,763.0,Z2033642196,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
210,26822,c1cncc(Nc2ccc3ccccc3n2)c1,,,,,,,,,,,,,,True,,,,0,0,1
211,26966,CC(O)CNC(=O)NC=1C=CC=C2CN(CC12)C=3C=CC=CN3,762.0,Z1524104355,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
212,13699,N#Cc1ccc(-c2cscn2)nc1C1CC1,,,,,,,,,,,,,,True,,True,True,2,1,3
213,30341,C1=CSC(=N1)C=2N=CC=C3C=CC=CC23,882.0,Z1659902394,132.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
214,37448,c1csc(Cc2ccc3c(c2)NCCC3)n1,,,,,,,,,,,,,,True,,,,0,0,1
215,43155,Cn1cc(C(CO)NCC(O)CN2CCCC2=O)cn1,,,,,,,,,,,,,,,True,True,,2,2,1
216,3859,CC(C)(C(=O)NCCN1CCCC1=O)C=2C=C(C=CN2)C(F)(F)F,806.0,Z3357687083,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
217,4091,O=C(OCCCN1CCCC1=O)C=2C=CN=C(C2)C3CC3,895.0,Z1647127529,132.0,5.0,sRDB,,,,,,,,,,True,True,,2,2,1
218,4093,O=C(NCCN1CCCC1=O)C2(CC2)C=3C=CC=CN3,915.0,Z2779839306,132.0,5.0,sRDB,,,,,,,,,,True,True,,2,2,1
219,28654,C=1C=CC(=NC1)C=2C=CC=C3NCCCC23,800.0,Z2961254665,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
220,31378,C=1C=CC(=NC1)C=2C=CC=3NCCCC3C2,758.0,Z1143356132,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
221,4109,O=C1CCCN1CC(O)CNC1(c2ccccn2)CC1,,,,,,,,,,,,,,,True,True,,2,2,1
222,41552,O=C(CC=1C=CN(N1)C2CCCC2)NCCN3CCCC3=O,922.0,Z4198874180,132.0,5.0,sRDB,,,,,,,,,True,,True,,2,1,2
223,41689,O=C1CCCN1CCNS(=O)(=O)C2=CC=NN2C3CCCC3,918.0,Z3472186747,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
224,4621,O=C1CCCN1C2CCN(C2)C=3N=CC=CC3OC(F)F,810.0,Z3558371794,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
225,40797,C[C@H](NC(=O)CCN1CCCC1=O)C=2C=CC=CN2,888.0,Z1081093460,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
226,19954,O=C(CCCC=1C=CC=CC1)NC2=CNN=C2C=3C=CC=CN3,785.0,Z1451067379,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
