smiles,hit1,hit2
Brc1cc2S(=O)(=O)C[C@@H]([NH2+]C[C@@H](O)C)Nc2cc1,z0211a,z0764a
Brc1cc2S(=O)(=O)C[C@@H]([NH2+]C[C@@H](O)C)Cc2cc1,z0211a,z0764a
S1(=O)(=O)c2c(cccc2)C[C@H]([NH2+]C[C@@H](O)C)C1,z0211a,z0764a
S1(=O)(=O)c2c(N[C@@H]([N@H+]3CC[N@@H+](CC3)C)C1)ccc(F)c2,z0483a,z0764a
S1(=O)(=O)c2c(ccc(c2)C)C[C@H](C1)CCO,z0483a,z0764a
S1(=O)(=O)c2c(N[C@@H]([N@H+]3CC[N@@H+](CC3)C)C1)ccc(c2)C,z0483a,z0764a
S1(=O)(=O)c2c(ccc(c2)C)C[C@@H]([N@H+]3CC[N@@H+](CC3)C)C1,z0483a,z0764a
S1(=O)(=O)c2c(cccc2)C[C@@H]([N@H+]3CC[N@@H+](CC3)C)C1,z0483a,z0764a
Brc1cc2S(=O)(=O)C[C@H]([N@H+]3CC[N@@H+](CC3)C)Cc2cc1,z0483a,z0764a
Brc1cc2S(=O)(=O)C[C@@H](Cc2cc1)CCC,z0483a,z0764a
Brc1cc2S(=O)(=O)C[C@H](C[NH3+])Cc2cc1,z0483a,z0764a
Brc1cc2S(=O)(=O)C[C@@H](Cc2cc1)C[C@@H](O)C,z0483a,z0764a
Brc1cc2S(=O)(=O)C[C@@H](Cc2cc1)CCO,z0483a,z0764a
Fc1c2c(NC(=C2)C)c(NC(=O)N3CC[N@@H+](CC3)C)cc1,z0483a,z0936a
Fc1c2c(c(NC(=O)N3CC[N@@H+](CC3)C)cc1)CC(=C2)C,z0483a,z0936a
O=C(N1CC[N@@H+](CC1)C)Nc2cc3c(cc2)cccc3,z0483a,z0936a
O=C(N1CC[N@@H+](CC1)C)Nc2cc3c(c(c2)C)cccc3,z0483a,z0936a
S1C(=NC(c2cc(c3ccccc3)cc(c2)C)=C1C)N,z0496a,z0936a
O=C1NC(=O)[C@@](N1)(CCc2cc3c(cc2)cccc3)C,z0519a,z0936a
O=C1NC(=O)[C@@](N1)(CCc2c3NC=Cc3ccc2)C,z0519a,z0936a
O=C1NC(=O)[C@@](N1)(CCc2c3c(ccc2)C=CC3)C,z0519a,z0936a
Clc1c2c(NC(=C2)C)c(N3C(=O)NC(=O)[C@@H]3C)cc1,z0900a,z0936a
Clc1c2c(c(N3C(=O)NC(=O)[C@@H]3C)cc1)CC(=C2)C,z0900a,z0936a
O=C1N(c2cc3c(cc2)cccc3)[C@H](C(=O)N1)C,z0900a,z0936a
O=C1N(c2cc3c(c(c2)C)cccc3)[C@H](C(=O)N1)C,z0900a,z0936a