smiles,hit0,hit1
S1C(=CC=C1)[C@H]2C[C@@H](Oc3ccc(OC(=O)C)cc3)[C@H](OC)[C@@H](C([O-])=O)C2,6ld2-a,6izx-a
S1c2c(ccc(OC(=O)C)c2)C3=C1[C@H](C=4SC=CC4)C[C@H](C([O-])=O)[C@H]3OC,6ld2-a,6izx-a
S1c2c(ccc(OC(=O)C)c2)[C@@H]3[C@@H]1[C@H](C=4SC=CC4)C[C@H](C([O-])=O)[C@H]3OC,6ld2-a,6izx-a
S1c2c(O[C@H]3[C@H](OC)[C@@H](C([O-])=O)C[C@@H](C=4SC=CC4)[C@H]13)ccc(OC(=O)C)c2,6ld2-a,6izx-a
S1c2c(ccc(OC(=O)C)c2)[C@@H]3[C@@H]1[C@H](C=4SC=CC4)C[C@H](C([O-])=O)[C@H]3OC,6ld2-a,6izx-a
S1C(=CC=C1)[C@H]2[C@H](C[C@H](OC)[C@@H](C([O-])=O)C2)CC[N@H+]3CCN(C(=O)N)CC3,6ld2-a,d0612a
S1C(=CC=C1)[C@H]2[C@@H](ON3CCN(C(=O)N)CC3)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2-a,d0612a
S1C(=CC=C1)[C@H]2[C@@H](OC[N@H+]3CCN(C(=O)N)CC3)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2-a,d0612a
S1C(=NC=C1CNc2cc(F)cc(c2)[C@@H]3C[C@H](OC)[C@@H](C([O-])=O)CC3)C,6ld2-a,d0615b
S1C(=NC=C1CNc2c[n+](cc(F)c2)[C@@H]3C[C@H](OC)[C@@H](C([O-])=O)CC3)C,6ld2-a,d0615b
S1C(=CC=C1)[C@H]2[C@@H](OCC[N@H+](Cc3cnccc3)C)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2-a,d0191a
S1C(=CC=C1)[C@H]2[C@@H](OCC3=CN(C=C3)Cc4cnccc4)C[C@H](OC)[C@@H](C([O-])=O)C2,6ld2-a,d0191a
[O-]C(=O)[C@@H]1[C@@H](OC)C[C@H]([C@@H]2CC[N@H+](Cc3cnccc3)CC2)CC1,6ld2-a,d0191a